,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
17155,BQ774526,0.5976593979254184,DHDDS,1.612014728007173,BX106930,0.3441357005407174,RPLP1,0.4174018593681825,INPPL1,0.8884527282811567,BX115255,0.30007495432600945
17156,DGKQ,0.5976561294293717,TEX2,1.6119944473392744,AA775179,0.34413200256287735,DA042938,0.4173950504814321,MRPS12,0.8884327488324736,NSUN4,0.3000744449914694
17157,CALR,0.5976504660778564,SESTD1,1.6119846420936708,AW451392,0.34413007981584015,SLC6A16,0.41735330028649653,GATAD1,0.8884067254803187,SNX13,0.3000738375024379
17158,SLC30A3,0.5976440351493864,FGD2,1.611983562466182,CA389367,0.3441273774395809,CXorf40B,0.4173494238847444,BTAF1,0.8884058592078659,CB857522,0.30007032736257816
17159,KRT76,0.5976197174468141,PPP3R1,1.6118864703584965,BI825858,0.3441267106071608,SLC35B2,0.41733851383239245,FCRL2,0.8884054780143894,BRD2,0.30006425997701835
17160,BI835545,0.5975903347367416,HSPBP1,1.6118662993867505,FARP2,0.34412332910872956,BG618056,0.4173139078190712,PCMTD1,0.888394216669782,CLEC4G,0.30005724199849493
17161,AKAP7,0.5975872447020355,ACACA,1.6118544796507008,LOC400499,0.3441178774776341,DB005376,0.41730570551832924,C11orf24,0.8883837648586829,MS4A3,0.3000471228185069
17162,CDK14,0.5975812762794466,EBP,1.6117829852787096,C11orf68,0.34411612824262344,PWWP2A,0.41730414583676884,AI820843,0.888381124029329,ASPN,0.3000399505905695
17163,GRIN3B,0.597552604653289,ST3GAL3,1.6117546874172315,SNX22,0.3441137124520643,PLOD3,0.41729325160425496,C12orf39,0.888342542195746,C14orf45,0.300035924013291
17164,ALDH5A1,0.5975030878115811,FYCO1,1.6117503313324908,BX105886,0.34411156533721887,SNAP29,0.41728282308762094,EGFL7,0.8883361903310903,CA449531,0.30002503732023095
17165,NAGLU,0.5975018895985572,CDK19,1.6117477645006097,MST1,0.3441098654886658,MKNK1,0.41728003118585966,AI902175,0.8883079396094046,GREM1,0.30001493717032096
17166,ILKAP_1,0.597498641521257,TUBE1,1.6117461422339228,TAS1R2,0.34410886363140064,BF507608,0.4172781216547331,ZNF680,0.888303973840649,TAF8,0.3000148701398622
17167,L3MBTL,0.5974798020824199,C14orf2,1.6117014750083216,KHDRBS2,0.34410699827783564,ERCC6L,0.4172641186537826,HECW1,0.8882487789392918,AI274930,0.3000135085057385
17168,DIP2C,0.5974756173625727,COIL,1.6116442509475009,ARCN1,0.3441003036301548,RC3H2,0.41725955073998244,ZCCHC3,0.8882438532788873,FAM54A,0.30000482826110253
